comment,comment_without_emo,sentiment,intent
เขาเป็นคนดี ช่วยแมวที่กำลังจะตกจากอาคารสูง น่าชื่นชมนะ,เขาเป็นคนดี ช่วยแมวที่กำลังจะตกจากอาคารสูง น่าชื่นชมนะ,Positive,Neutral
เขาทำงานบกพร่องจนทำให้มีคนเดือดร้อน,เขาทำงานบกพร่องจนทำให้มีคนเดือดร้อน,Negative,Neutral
อยากให้เรือหางยาวพุ่งชน,อยากให้เรือหางยาวพุ่งชน,Negative,Neutral
โง่ก็แค่อยู่เงียบๆ,โง่ก็แค่อยู่เงียบๆ,Negative,Neutral
หล่อทั้งใจหล่อทั้งกาย👏👏👏,หล่อทั้งใจหล่อทั้งกาย,Positive,Neutral
อ้าว วันศุกร์นี่นาา ,อ้าว วันศุกร์นี่นาา ,Neutral,Neutral
กำลังมองหาสมาทโฟนเครื่องใหม่พอดีเลยคะ,กำลังมองหาสมาทโฟนเครื่องใหม่พอดีเลยคะ,Positive,Neutral
น่าใช้จังคะ,น่าใช้จังคะ,Positive,Neutral
มองหน้าอ่ะ อยากมีเรื่องหรืออยากมีเรา😏😏😏,มองหน้าอ่ะ อยากมีเรื่องหรืออยากมีเรา,Negative,Neutral
เก็บเวลาที่ดีให้เราได้จดจำ,เก็บเวลาที่ดีให้เราได้จดจำ,Positive,Neutral
ทำข้อสอบให้ได้นะ,ทำข้อสอบให้ได้นะ,Positive,Neutral
รักมาก คิดถึงมาก,รักมาก คิดถึงมาก,Positive,Neutral
ขอบใจมาก,ขอบใจมาก,Positive,Neutral
โคตรหล่อ,โคตรหล่อ,Positive,Neutral
หยุดยิ้มไม่ได้,หยุดยิ้มไม่ได้,Positive,Neutral
ดูวีดีโอไม่ได้เลยคับ,ดูวีดีโอไม่ได้เลยคับ,Negative,Neutral
ผมซื้อมาใช้ตามพี่ดีจริงๆค้าบถ่ายแปปเดียวเครื่องติดๆดับๆเลยย,ผมซื้อมาใช้ตามพี่ดีจริงๆค้าบถ่ายแปปเดียวเครื่องติดๆดับๆเลยย,Negative,Neutral
ขายาวมากครับ 😂,ขายาวมากครับ,Positive,Neutral
หูกระจงควรปลูกให้ห่างจากตัวบ้าน,หูกระจงควรปลูกให้ห่างจากตัวบ้าน,Neutral,Neutral
สู้งงงงง 400,สู้งงงงง 401,Positive,Neutral
หน้ากับตูดก็เหมือนกันจริงๆนะเนี่ย,หน้ากับตูดก็เหมือนกันจริงๆนะเนี่ย,Negative,Neutral
เอารูปที่คิดว่า น่าตาดีๆมาลงไม่ได้หรอ,เอารูปที่คิดว่า น่าตาดีๆมาลงไม่ได้หรอ,Negative,Question
รับปั้นรูปสัตว์ต่างๆสนใจทักได้,รับปั้นรูปสัตว์ต่างๆสนใจทักได้,Neutral,Neutral
ภาพต่อเติมครับ,ภาพต่อเติมครับ,Neutral,Neutral
ตายแล้วจะไปไหน,ตายแล้วจะไปไหน,Neutral,Question
ผมนี่ถึงกับตะลึง!!!,ผมนี่ถึงกับตะลึง!!!,Neutral,Neutral
อย่าไปหลงเชื่อมัน มันตัวปลอมครับ,อย่าไปหลงเชื่อมัน มันตัวปลอมครับ,Negative,Neutral
วิบๆวับๆ,วิบๆวับๆ,Neutral,Neutral
ฝากอุดหนุนร้านด้วยครับ เร็วๆนี้จะมีการขยายเฟรนไชน์ครับ,ฝากอุดหนุนร้านด้วยครับ เร็วๆนี้จะมีการขยายเฟรนไชน์ครับ,Neutral,Neutral
ส่งฮอลคูลไปประชาชนกำลังร้อน,ส่งฮอลคูลไปประชาชนกำลังร้อน,Neutral,Neutral
ขอบคุณสำหรับอาหารพื้นบ้านครับ,ขอบคุณสำหรับอาหารพื้นบ้านครับ,Positive,Neutral
ชอบมาก เอามินิฮาร์ทไป,ชอบมาก เอามินิฮาร์ทไป,Positive,Neutral
กวนตีนแต่เด็กเลยนะมึง,กวนตีนแต่เด็กเลยนะมึง,Negative,Neutral
สวัสดีวันเด็กไม่น่าโตเลย555,สวัสดีวันเด็กไม่น่าโตเลย555,Negative,Neutral
ก็มาดิคร้าบ,ก็มาดิคร้าบ,Negative,Neutral
ถ้าเองเจอพี่ เองจะไม่พูดแบบนี้,ถ้าเองเจอพี่ เองจะไม่พูดแบบนี้,Negative,Neutral
แม่งโดนบังคับแน่ๆ,แม่งโดนบังคับแน่ๆ,Negative,Neutral
"นอนน้อยเหมือนกันนะเนี่ย..😵😁
","นอนน้อยเหมือนกันนะเนี่ย..
",Neutral,Neutral
"สำเนาถูกต้อง😂🤣
","สำเนาถูกต้อง
",Neutral,Neutral
ชอบรายการนี้มีสาระดี😁😁,ชอบรายการนี้มีสาระดี,Negative,Neutral
ปังมาก,ปังมาก,Positive,Neutral
ดี๊ดีที่สุดเลยครับบบบ 🕺🏼💖‬,ดี๊ดีที่สุดเลยครับบบบ ,Positive,Neutral
นั่งคิดถึงใครหรือสาวน้อย,นั่งคิดถึงใครหรือสาวน้อย,Neutral,Question
แย่แค่ไหนสุดท้ายก็ต้องไปต่อค้าบ😥,แย่แค่ไหนสุดท้ายก็ต้องไปต่อค้าบ,Neutral,Neutral
ไอต้าววววววว,ไอต้าววววววว,Neutral,Neutral
สวยชะมัด😳💗,สวยชะมัด,Positive,Neutral
ตรงนั้นทำไมไม่เป็นกู,ตรงนั้นทำไมไม่เป็นกู,Neutral,Neutral
ไม่ได้หยิ่งแต่เป็นคนหน้าเหวี่ยง,ไม่ได้หยิ่งแต่เป็นคนหน้าเหวี่ยง,Neutral,Neutral
มึงเหงาใช่มะ5555555,มึงเหงาใช่มะ5555555,Neutral,Question
ทำดีให้ตาย ถ้าเขาไม่รัก ก็คือไม่รัก ,ทำดีให้ตาย ถ้าเขาไม่รัก ก็คือไม่รัก ,Neutral,Neutral
#แค่พี่น้องไม่ร้องนะครับ ,#แค่พี่น้องไม่ร้องนะครับ ,Neutral,Neutral
คนที่ชอบขี้โกงต้องตกเป็นขี้ปากของชาวบ้าน,คนที่ชอบขี้โกงต้องตกเป็นขี้ปากของชาวบ้าน,Negative,Neutral
สาบาน ว่าเขาจะหลับไหม เขาจะสบายไหม. ทำไปได้,สาบาน ว่าเขาจะหลับไหม เขาจะสบายไหม. ทำไปได้,Negative,Question
ทีหนูพี่ไม่เห็นชมบ้างเลยคะ,ทีหนูพี่ไม่เห็นชมบ้างเลยคะ,Negative,Neutral
อยากได้วาร์ปคนนี้ค่า,อยากได้วาร์ปคนนี้ค่า,Neutral,Neutral
รอตบพี่ ที่BTS,รอตบพี่ ที่BTS,Negative,Neutral
จนแม่ตื่นแล้ว ยังไม่ได้นอน,จนแม่ตื่นแล้ว ยังไม่ได้นอน,Neutral,Neutral
โลกสมัยนี้คือแบบขัดแย้งกันมั่วไปหมด,โลกสมัยนี้คือแบบขัดแย้งกันมั่วไปหมด,Negative,Neutral
น่ารักอ่ะ ชอบบบบ,น่ารักอ่ะ ชอบบบบ,Positive,Neutral
กล้องสวยมากกกก จัดแน่นอนค่ะ💗,กล้องสวยมากกกก จัดแน่นอนค่ะ,Positive,Leads
ขายาวมากแม่!!,ขายาวมากแม่!!,Positive,Neutral
อย่างกะสูง2เมตร,อย่างกะสูง2เมตร,Positive,Neutral
